dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,pred
2012-05-20,2,1,5,4,0,0,0,1,0.52,0.5,0.68,0.0896,16.183514931751578
2012-05-20,2,1,5,5,0,0,0,1,0.5,0.4848,0.72,0.1045,21.904609126820443
2012-05-20,2,1,5,6,0,0,0,1,0.5,0.4848,0.63,0.1343,32.886768358081035
2012-05-20,2,1,5,7,0,0,0,1,0.52,0.5,0.68,0.194,95.0630523797946
2012-05-20,2,1,5,8,0,0,0,1,0.56,0.5303,0.56,0.1642,171.26954632206463
2012-05-20,2,1,5,9,0,0,0,1,0.62,0.6212,0.32,0.2537,229.04439341625584
2012-05-20,2,1,5,10,0,0,0,1,0.66,0.6212,0.34,0.2985,363.2904450296856
2012-05-20,2,1,5,11,0,0,0,1,0.66,0.6212,0.36,0.3284,466.9968750213233
2012-05-20,2,1,5,12,0,0,0,1,0.68,0.6364,0.36,0.3284,539.7796855501382
2012-05-20,2,1,5,13,0,0,0,1,0.7,0.6364,0.37,0.2836,539.4423650595857
2012-05-20,2,1,5,14,0,0,0,1,0.72,0.6515,0.39,0.3881,545.6982995611331
2012-05-20,2,1,5,15,0,0,0,2,0.7,0.6364,0.39,0.4179,516.9228173275786
2012-05-20,2,1,5,16,0,0,0,1,0.72,0.6515,0.42,0.3582,521.1949617514592
2012-05-20,2,1,5,17,0,0,0,1,0.72,0.6515,0.45,0.3284,561.6030719180128
2012-05-20,2,1,5,18,0,0,0,1,0.7,0.6515,0.51,0.3284,506.78782954771924
2012-05-20,2,1,5,19,0,0,0,1,0.66,0.6212,0.61,0.4179,427.8204069565232
2012-05-20,2,1,5,20,0,0,0,1,0.66,0.6212,0.61,0.4179,298.0396794479872
2012-05-20,2,1,5,21,0,0,0,1,0.64,0.6061,0.69,0.3881,209.1494653859191
2012-05-20,2,1,5,22,0,0,0,1,0.62,0.5909,0.73,0.3284,152.97980457953537
2012-05-20,2,1,5,23,0,0,0,3,0.6,0.5758,0.78,0.3582,91.71788670396178
2012-05-21,2,1,5,0,0,1,1,3,0.58,0.5455,0.88,0.2985,24.850434621140373
2012-05-21,2,1,5,1,0,1,1,3,0.58,0.5455,0.88,0.3582,13.050522009731829
2012-05-21,2,1,5,2,0,1,1,3,0.56,0.5303,0.94,0.2537,8.281396925615764
2012-05-21,2,1,5,3,0,1,1,2,0.56,0.5303,0.88,0.2985,6.056128175985059
2012-05-21,2,1,5,4,0,1,1,3,0.56,0.5303,0.88,0.2985,4.733831331400005
2012-05-21,2,1,5,5,0,1,1,3,0.56,0.5303,0.88,0.2985,14.975956019967601
2012-05-21,2,1,5,6,0,1,1,3,0.56,0.5303,0.88,0.2985,91.45388500831801
2012-05-21,2,1,5,7,0,1,1,3,0.56,0.5303,0.88,0.2985,200.98658614620086
2012-05-21,2,1,5,8,0,1,1,3,0.56,0.5303,0.88,0.2537,397.198713964572
2012-05-21,2,1,5,9,0,1,1,3,0.56,0.5303,0.88,0.2239,225.08554451937644
2012-05-21,2,1,5,10,0,1,1,3,0.58,0.5455,0.88,0.2836,152.96971715164548
2012-05-21,2,1,5,11,0,1,1,2,0.6,0.5606,0.83,0.1642,222.64980833075037
2012-05-21,2,1,5,12,0,1,1,2,0.6,0.5606,0.83,0.2537,243.43853684579557
